年月,銀行,銀行類別,項目,數值,英文欄位
9608,荷商荷蘭銀行,本國銀行,交易金額,131000000,Txn_Bal
9608,香港上海匯豐銀行,本國銀行,發行金融卡,424010,Issue_Card_Cnt
9608,香港上海匯豐銀行,本國銀行,流通金融卡,261414,F_Card_Cnt
9608,香港上海匯豐銀行,本國銀行,ATM裝設數,18,ATM_Cnt
9608,香港上海匯豐銀行,本國銀行,交易次數,360398,Txn_Cnt
9608,香港上海匯豐銀行,本國銀行,交易金額,11601000000,Txn_Bal
9608,英商渣打銀行,本國銀行,發行金融卡,0,Issue_Card_Cnt
9608,英商渣打銀行,本國銀行,流通金融卡,0,F_Card_Cnt
9608,英商渣打銀行,本國銀行,ATM裝設數,0,ATM_Cnt
9608,英商渣打銀行,本國銀行,交易次數,0,Txn_Cnt
9608,英商渣打銀行,本國銀行,交易金額,0,Txn_Bal
9608,信用合作社,信用合作社,發行金融卡,2207602,Issue_Card_Cnt
9608,信用合作社,信用合作社,流通金融卡,1288006,F_Card_Cnt
9608,信用合作社,信用合作社,ATM裝設數,451,ATM_Cnt
9608,信用合作社,信用合作社,交易次數,676084,Txn_Cnt
9608,信用合作社,信用合作社,交易金額,8736000000,Txn_Bal
9608,農漁會信用部,信用合作社,發行金融卡,3122028,Issue_Card_Cnt
9608,農漁會信用部,信用合作社,流通金融卡,1852985,F_Card_Cnt
9608,農漁會信用部,信用合作社,ATM裝設數,1120,ATM_Cnt
9608,農漁會信用部,信用合作社,交易次數,1589212,Txn_Cnt
9608,農漁會信用部,信用合作社,交易金額,22546000000,Txn_Bal
9608,臺灣郵政公司儲匯處,信用合作社,發行金融卡,33295687,Issue_Card_Cnt
9608,臺灣郵政公司儲匯處,信用合作社,流通金融卡,11989302,F_Card_Cnt
9608,臺灣郵政公司儲匯處,信用合作社,ATM裝設數,3126,ATM_Cnt
9608,臺灣郵政公司儲匯處,信用合作社,交易次數,10429830,Txn_Cnt
9608,臺灣郵政公司儲匯處,信用合作社,交易金額,101763000000,Txn_Bal
9608,全國農業金庫,信用合作社,發行金融卡,424,Issue_Card_Cnt
9608,全國農業金庫,信用合作社,流通金融卡,372,F_Card_Cnt
9608,全國農業金庫,信用合作社,ATM裝設數,2,ATM_Cnt
9608,全國農業金庫,信用合作社,交易次數,667,Txn_Cnt
9608,全國農業金庫,信用合作社,交易金額,11000000,Txn_Bal
