etl_dt,bank_code,data_dt,bank_nm,cc_f_card_cnt,cc_open_card_cnt,cc_issue_card_cnt,cc_stop_card_cnt,cyc_bal,cc_txn_bal,cc_ln_bal,cc_payment_rate,cc_baddebit_rate,cc_baddebit_bal,cyc_income,txn_fee,cc_ln_fee,auth_store_cnt
2013-11-26 22:33:20.840664,011       ,2013-04-01 00:00:00,上海商業儲蓄銀行,420671,220756,1888,2223,875000000.0,1203000000.0,7000000.0,0.75,1322.51,6000000.0,12000000.0,20000000.0,0.0,0
2013-11-26 22:33:20.72254,012       ,2013-04-01 00:00:00,台北富邦銀行,2183173,1466560,39668,19163,7212000000.0,9955000000.0,79000000.0,0.25,1066.7,25000000.0,83000000.0,152000000.0,3000000.0,347
2013-11-26 22:33:20.905406,013       ,2013-04-01 00:00:00,國泰世華商業銀行,3488748,2404373,36768,21119,14357000000.0,19902000000.0,253000000.0,0.16,1862.03,22000000.0,174000000.0,229000000.0,4000000.0,8160
2013-11-26 22:33:20.900576,016       ,2013-04-01 00:00:00,高雄銀行,6870,3397,22,28,6000000.0,146000000.0,0.0,0.07,1041.88,0.0,0.0,0.0,0.0,1134
2013-11-26 22:33:20.884416,017       ,2013-04-01 00:00:00,兆豐國際商業銀行,503296,331503,8525,3029,1468000000.0,2295000000.0,10000000.0,0.29,772.25,5000000.0,20000000.0,32000000.0,0.0,261
2013-11-26 22:33:20.837499,021       ,2013-04-01 00:00:00,花旗(台灣)商業銀行,2682714,2317117,24383,20286,18036000000.0,17210000000.0,186000000.0,0.53,1505.19,63000000.0,243000000.0,223000000.0,6000000.0,28369
2013-11-26 22:33:20.866641,039       ,2013-04-01 00:00:00,澳盛(台灣)商業銀行,759398,393311,7395,2063,4673000000.0,2819000000.0,10000000.0,0.47,11904.61,17000000.0,55000000.0,41000000.0,0.0,685
2013-11-26 22:33:20.718225,050       ,2013-04-01 00:00:00,臺灣中小企業銀行,318781,137745,1539,2279,670000000.0,839000000.0,5000000.0,0.26,728.43,3000000.0,9000000.0,11000000.0,0.0,5
2013-11-26 22:33:20.896478,052       ,2013-04-01 00:00:00,渣打國際商業銀行,344651,236240,7533,4030,2768000000.0,1555000000.0,15000000.0,0.64,386.94,25000000.0,40000000.0,23000000.0,1000000.0,0
2013-11-26 22:33:20.889182,053       ,2013-04-01 00:00:00,台中商業銀行,130083,51890,1776,459,186000000.0,349000000.0,0.0,0.88,975.01,0.0,3000000.0,5000000.0,0.0,0
2013-11-26 22:33:20.848652,081       ,2013-04-01 00:00:00,匯豐(台灣)商業銀行,752334,482555,8927,11422,4053000000.0,4064000000.0,67000000.0,0.36,1490.61,18000000.0,61000000.0,59000000.0,1000000.0,6
2013-11-26 22:33:20.85475,102       ,2013-04-01 00:00:00,華泰商業銀行,11675,7297,7,15,23000000.0,70000000.0,0.0,0.58,155.27,0.0,0.0,1000000.0,0.0,0
2013-11-26 22:33:20.860592,103       ,2013-04-01 00:00:00,臺灣新光商業銀行,917206,435601,43625,7002,2771000000.0,3485000000.0,29000000.0,0.27,428.92,9000000.0,26000000.0,70000000.0,0.0,1980
2013-11-26 22:33:20.724575,108       ,2013-04-01 00:00:00,陽信商業銀行,57402,33376,1304,566,358000000.0,196000000.0,1000000.0,0.46,1741.38,3000000.0,4000000.0,3000000.0,0.0,0
2013-11-26 22:33:20.87965,147       ,2013-04-01 00:00:00,三信商業銀行,15375,10751,271,68,45000000.0,100000000.0,0.0,0.35,2402.34,0.0,0.0,1000000.0,0.0,0
2013-11-26 22:33:20.891276,803       ,2013-04-01 00:00:00,聯邦商業銀行,1869256,793061,10826,14516,5733000000.0,3728000000.0,128000000.0,0.39,123.36,18000000.0,59000000.0,59000000.0,1000000.0,3162
2013-11-26 22:33:20.857631,805       ,2013-04-01 00:00:00,遠東國際商業銀行,1416882,903686,10248,10234,6504000000.0,4700000000.0,284000000.0,0.35,102.86,22000000.0,86000000.0,49000000.0,1000000.0,0
