etl_dt,bank_code,data_dt,bank_nm,my_tot,fy_tot,my_country,fy_country,my_os,fy_os
2014-05-22,009       ,2006-06-01,彰化商業銀行,52793000000.0,70231000000.0,35563000000.0,50315000000.0,17230000000.0,19916000000.0
2014-05-22,-01       ,2006-06-01,臺東區中小企業銀行,0.0,0.0,0.0,0.0,0.0,0.0
2014-05-22,011       ,2006-06-01,上海商業儲蓄銀行,44875000000.0,55520000000.0,18232000000.0,23296000000.0,26643000000.0,32224000000.0
2014-05-22,012       ,2006-06-01,台北富邦銀行,24235000000.0,55094000000.0,21550000000.0,50640000000.0,2685000000.0,4454000000.0
2014-05-22,013       ,2006-06-01,國泰世華商業銀行,18856000000.0,42042000000.0,13200000000.0,29671000000.0,5656000000.0,12371000000.0
2014-05-22,015       ,2006-06-01,中國輸出入銀行,0.0,0.0,0.0,0.0,0.0,0.0
2014-05-22,016       ,2006-06-01,高雄銀行,1665000000.0,3077000000.0,1422000000.0,2781000000.0,243000000.0,296000000.0
2014-05-22,040       ,2006-06-01,中華開發工業銀行,6121000000.0,4493000000.0,374000000.0,1121000000.0,5747000000.0,3372000000.0
2014-05-22,048       ,2006-06-01,臺灣工業銀行,1045000000.0,10297000000.0,552000000.0,8178000000.0,493000000.0,2119000000.0
2014-05-22,050       ,2006-06-01,臺灣中小企業銀行,28992000000.0,39988000000.0,19813000000.0,28773000000.0,9179000000.0,11215000000.0
2014-05-22,052       ,2006-06-01,新竹國際商業銀行,5364000000.0,8288000000.0,4664000000.0,7370000000.0,700000000.0,918000000.0
