年月,銀行,項目,數值
10108,　永豐商業銀行,本國銀行,預借現金手續費,7000000
10108,　永豐商業銀行,本國銀行,收單特約商店家數,1152
10108,　玉山商業銀行,本國銀行,流通卡數,3080076
10108,　玉山商業銀行,本國銀行,有效卡數,2071007
10108,　玉山商業銀行,本國銀行,本月發卡數,51234
10108,　玉山商業銀行,本國銀行,本月停卡數,18703
10108,　玉山商業銀行,本國銀行,循環信用餘額,12634000000
10108,　玉山商業銀行,本國銀行,本月簽帳金額,14491000000
10108,　玉山商業銀行,本國銀行,本月預借現金金額,223000000
10108,　玉山商業銀行,本國銀行,預期帳款比率,0.21
10108,　玉山商業銀行,本國銀行,底被呆帳提足率,2176.43
10108,　玉山商業銀行,本國銀行,本月轉銷呆帳金額,33000000
10108,　玉山商業銀行,本國銀行,循環信用利息收入,193000000
10108,　玉山商業銀行,本國銀行,簽帳手續費收入,224000000
10108,　玉山商業銀行,本國銀行,預借現金手續費,7000000
10108,　玉山商業銀行,本國銀行,收單特約商店家數,2511
10108,　萬泰商業銀行,本國銀行,流通卡數,541487
10108,　萬泰商業銀行,本國銀行,有效卡數,223568
10108,　萬泰商業銀行,本國銀行,本月發卡數,1775
10108,　萬泰商業銀行,本國銀行,本月停卡數,5868
10108,　萬泰商業銀行,本國銀行,循環信用餘額,1571000000
10108,　萬泰商業銀行,本國銀行,本月簽帳金額,922000000
10108,　萬泰商業銀行,本國銀行,本月預借現金金額,15000000
10108,　萬泰商業銀行,本國銀行,預期帳款比率,1.11
10108,　萬泰商業銀行,本國銀行,底被呆帳提足率,108.79
10108,　萬泰商業銀行,本國銀行,本月轉銷呆帳金額,6000000
10108,　萬泰商業銀行,本國銀行,循環信用利息收入,22000000
10108,　萬泰商業銀行,本國銀行,簽帳手續費收入,10000000
10108,　萬泰商業銀行,本國銀行,預借現金手續費,1000000
10108,　萬泰商業銀行,本國銀行,收單特約商店家數,16
10108,　星展(台灣)商業銀行,本國銀行,流通卡數,7390
10108,　星展(台灣)商業銀行,本國銀行,有效卡數,3142
10108,　星展(台灣)商業銀行,本國銀行,本月發卡數,452
10108,　星展(台灣)商業銀行,本國銀行,本月停卡數,71
10108,　星展(台灣)商業銀行,本國銀行,循環信用餘額,17000000
10108,　星展(台灣)商業銀行,本國銀行,本月簽帳金額,34000000
10108,　星展(台灣)商業銀行,本國銀行,本月預借現金金額,0
10108,　星展(台灣)商業銀行,本國銀行,預期帳款比率,0.03
10108,　星展(台灣)商業銀行,本國銀行,底被呆帳提足率,215.52
10108,　星展(台灣)商業銀行,本國銀行,本月轉銷呆帳金額,0
10108,　星展(台灣)商業銀行,本國銀行,循環信用利息收入,0
10108,　星展(台灣)商業銀行,本國銀行,簽帳手續費收入,0
10108,　星展(台灣)商業銀行,本國銀行,預借現金手續費,0
10108,　星展(台灣)商業銀行,本國銀行,收單特約商店家數,0
10108,　台新國際商業銀行,本國銀行,流通卡數,3057875
10108,　台新國際商業銀行,本國銀行,有效卡數,1943411
10108,　台新國際商業銀行,本國銀行,本月發卡數,45843
10108,　台新國際商業銀行,本國銀行,本月停卡數,49699
10108,　台新國際商業銀行,本國銀行,循環信用餘額,12113000000
10108,　台新國際商業銀行,本國銀行,本月簽帳金額,12953000000
10108,　台新國際商業銀行,本國銀行,本月預借現金金額,123000000
10108,　台新國際商業銀行,本國銀行,預期帳款比率,0.26
10108,　台新國際商業銀行,本國銀行,底被呆帳提足率,633.28
10108,　台新國際商業銀行,本國銀行,本月轉銷呆帳金額,21000000
10108,　台新國際商業銀行,本國銀行,循環信用利息收入,128000000
10108,　台新國際商業銀行,本國銀行,簽帳手續費收入,166000000
10108,　台新國際商業銀行,本國銀行,預借現金手續費,8000000
10108,　台新國際商業銀行,本國銀行,收單特約商店家數,52476
10108,　大眾商業銀行,本國銀行,流通卡數,606553
10108,　大眾商業銀行,本國銀行,有效卡數,286115
10108,　大眾商業銀行,本國銀行,本月發卡數,6233
10108,　大眾商業銀行,本國銀行,本月停卡數,7070
10108,　大眾商業銀行,本國銀行,循環信用餘額,1874000000
10108,　大眾商業銀行,本國銀行,本月簽帳金額,1622000000
10108,　大眾商業銀行,本國銀行,本月預借現金金額,91000000
10108,　大眾商業銀行,本國銀行,預期帳款比率,0.0
10108,　大眾商業銀行,本國銀行,底被呆帳提足率,419.12
