年月,銀行,銀行類別,項目,數值,英文欄位
10008,台中商業銀行,本國銀行,公司支存戶數,26962,C_Cd_Cnt
10008,台中商業銀行,本國銀行,公司支存餘額,2477000000,C_Cd_Bal
10008,台中商業銀行,本國銀行,個人支存戶數,64392,P_Cd_Cnt
10008,台中商業銀行,本國銀行,個人支存餘額,2161000000,P_Cd_Bal
10008,台中商業銀行,本國銀行,其他支存戶數,206,O_Cd_Cnt
10008,台中商業銀行,本國銀行,其他支存餘額,108000000,O_Cd_Bal
10008,京城商業銀行,本國銀行,公司支存戶數,15321,C_Cd_Cnt
10008,京城商業銀行,本國銀行,公司支存餘額,1029000000,C_Cd_Bal
10008,京城商業銀行,本國銀行,個人支存戶數,47636,P_Cd_Cnt
10008,京城商業銀行,本國銀行,個人支存餘額,682000000,P_Cd_Bal
10008,京城商業銀行,本國銀行,其他支存戶數,116,O_Cd_Cnt
10008,京城商業銀行,本國銀行,其他支存餘額,229000000,O_Cd_Bal
10008,總計,外國銀行在台分行,公司支存戶數,23778,C_Cd_Cnt
10008,總計,外國銀行在台分行,公司支存餘額,3903000000,C_Cd_Bal
10008,總計,外國銀行在台分行,個人支存戶數,35783,P_Cd_Cnt
10008,總計,外國銀行在台分行,個人支存餘額,245000000,P_Cd_Bal
10008,總計,外國銀行在台分行,其他支存戶數,115,O_Cd_Cnt
10008,總計,外國銀行在台分行,其他支存餘額,663000000,O_Cd_Bal
10008,日商瑞穗實業銀行,外國銀行在台分行,公司支存戶數,875,C_Cd_Cnt
10008,日商瑞穗實業銀行,外國銀行在台分行,公司支存餘額,673000000,C_Cd_Bal
10008,日商瑞穗實業銀行,外國銀行在台分行,個人支存戶數,18,P_Cd_Cnt
10008,日商瑞穗實業銀行,外國銀行在台分行,個人支存餘額,6000000,P_Cd_Bal
10008,日商瑞穗實業銀行,外國銀行在台分行,其他支存戶數,6,O_Cd_Cnt
10008,日商瑞穗實業銀行,外國銀行在台分行,其他支存餘額,21000000,O_Cd_Bal
10008,美商美國銀行,外國銀行在台分行,公司支存戶數,155,C_Cd_Cnt
10008,美商美國銀行,外國銀行在台分行,公司支存餘額,883000000,C_Cd_Bal
10008,美商美國銀行,外國銀行在台分行,個人支存戶數,0,P_Cd_Cnt
10008,美商美國銀行,外國銀行在台分行,個人支存餘額,0,P_Cd_Bal
10008,美商美國銀行,外國銀行在台分行,其他支存戶數,2,O_Cd_Cnt
10008,美商美國銀行,外國銀行在台分行,其他支存餘額,63000000,O_Cd_Bal
10008,泰國盤谷銀行,外國銀行在台分行,公司支存戶數,103,C_Cd_Cnt
10008,泰國盤谷銀行,外國銀行在台分行,公司支存餘額,150000000,C_Cd_Bal
10008,泰國盤谷銀行,外國銀行在台分行,個人支存戶數,23,P_Cd_Cnt
10008,泰國盤谷銀行,外國銀行在台分行,個人支存餘額,6000000,P_Cd_Bal
10008,泰國盤谷銀行,外國銀行在台分行,其他支存戶數,10,O_Cd_Cnt
10008,泰國盤谷銀行,外國銀行在台分行,其他支存餘額,400000000,O_Cd_Bal
10008,菲律賓首都銀行,外國銀行在台分行,公司支存戶數,86,C_Cd_Cnt
10008,菲律賓首都銀行,外國銀行在台分行,公司支存餘額,12000000,C_Cd_Bal
10008,菲律賓首都銀行,外國銀行在台分行,個人支存戶數,532,P_Cd_Cnt
10008,菲律賓首都銀行,外國銀行在台分行,個人支存餘額,6000000,P_Cd_Bal
