年月,銀行,銀行類別,項目,數值,英文項目
9507,國泰世華商業銀行,全行外匯活期存款,總外匯活期存款,18150000000,My_TOT
9507,國泰世華商業銀行,全行外匯定期存款,總外匯定期存款,43574000000,FY_TOT
9507,中國輸出入銀行,全行外匯活期存款,總外匯活期存款,0,My_TOT
9507,中國輸出入銀行,全行外匯定期存款,總外匯定期存款,0,FY_TOT
9507,高雄銀行,全行外匯活期存款,總外匯活期存款,1776000000,My_TOT
9507,高雄銀行,全行外匯定期存款,總外匯定期存款,3371000000,FY_TOT
9507,中國國際商業銀行,全行外匯活期存款,總外匯活期存款,122470000000,My_TOT
9507,中國國際商業銀行,全行外匯定期存款,總外匯定期存款,242566000000,FY_TOT
9507,中華開發工業銀行,全行外匯活期存款,總外匯活期存款,5448000000,My_TOT
9507,中華開發工業銀行,全行外匯定期存款,總外匯定期存款,5166000000,FY_TOT
9507,臺灣工業銀行,全行外匯活期存款,總外匯活期存款,748000000,My_TOT
9507,臺灣工業銀行,全行外匯定期存款,總外匯定期存款,10508000000,FY_TOT
9507,華泰商業銀行,全行外匯活期存款,總外匯活期存款,236000000,My_TOT
9507,華泰商業銀行,全行外匯定期存款,總外匯定期存款,879000000,FY_TOT
9507,臺灣新光商業銀行,全行外匯活期存款,總外匯活期存款,1304000000,My_TOT
9507,臺灣新光商業銀行,全行外匯定期存款,總外匯定期存款,4805000000,FY_TOT
9507,陽信商業銀行,全行外匯活期存款,總外匯活期存款,794000000,My_TOT
9507,陽信商業銀行,全行外匯定期存款,總外匯定期存款,2656000000,FY_TOT
9507,板信商業銀行,全行外匯活期存款,總外匯活期存款,1086000000,My_TOT
9507,板信商業銀行,全行外匯定期存款,總外匯定期存款,2465000000,FY_TOT
9507,三信商業銀行,全行外匯活期存款,總外匯活期存款,83000000,My_TOT
9507,三信商業銀行,全行外匯定期存款,總外匯定期存款,655000000,FY_TOT
9507,臺灣新光商業銀行,全行外匯活期存款,總外匯活期存款,0,My_TOT
9507,臺灣新光商業銀行,全行外匯定期存款,總外匯定期存款,0,FY_TOT
9507,第七商業銀行,全行外匯活期存款,總外匯活期存款,0,My_TOT
9507,第七商業銀行,全行外匯定期存款,總外匯定期存款,0,FY_TOT
9507,高新商業銀行,全行外匯活期存款,總外匯活期存款,0,My_TOT
9507,高新商業銀行,全行外匯定期存款,總外匯定期存款,0,FY_TOT
9507,聯邦商業銀行,全行外匯活期存款,總外匯活期存款,3786000000,My_TOT
9507,聯邦商業銀行,全行外匯定期存款,總外匯定期存款,13970000000,FY_TOT
9507,中華商業銀行,全行外匯活期存款,總外匯活期存款,1413000000,My_TOT
9507,中華商業銀行,全行外匯定期存款,總外匯定期存款,5176000000,FY_TOT
9507,遠東國際商業銀行,全行外匯活期存款,總外匯活期存款,6642000000,My_TOT
9507,遠東國際商業銀行,全行外匯定期存款,總外匯定期存款,24614000000,FY_TOT
9507,復華商業銀行,全行外匯活期存款,總外匯活期存款,4322000000,My_TOT
9507,復華商業銀行,全行外匯定期存款,總外匯定期存款,13336000000,FY_TOT
9507,建華商業銀行,全行外匯活期存款,總外匯活期存款,35936000000,My_TOT
9507,建華商業銀行,全行外匯定期存款,總外匯定期存款,60545000000,FY_TOT
9507,玉山商業銀行,全行外匯活期存款,總外匯活期存款,13373000000,My_TOT
9507,玉山商業銀行,全行外匯定期存款,總外匯定期存款,40308000000,FY_TOT
9507,萬泰商業銀行,全行外匯活期存款,總外匯活期存款,1704000000,My_TOT
9507,萬泰商業銀行,全行外匯定期存款,總外匯定期存款,3052000000,FY_TOT
9507,寶華商業銀行,全行外匯活期存款,總外匯活期存款,917000000,My_TOT
9507,寶華商業銀行,全行外匯定期存款,總外匯定期存款,3678000000,FY_TOT
9507,台新國際商業銀行,全行外匯活期存款,總外匯活期存款,28121000000,My_TOT
9507,台新國際商業銀行,全行外匯定期存款,總外匯定期存款,86301000000,FY_TOT
9507,大眾商業銀行,全行外匯活期存款,總外匯活期存款,9927000000,My_TOT
9507,大眾商業銀行,全行外匯定期存款,總外匯定期存款,22458000000,FY_TOT
9507,日盛國際商業銀行,全行外匯活期存款,總外匯活期存款,4271000000,My_TOT
9507,日盛國際商業銀行,全行外匯定期存款,總外匯定期存款,6092000000,FY_TOT
9507,安泰商業銀行,全行外匯活期存款,總外匯活期存款,2070000000,My_TOT
9507,安泰商業銀行,全行外匯定期存款,總外匯定期存款,5537000000,FY_TOT
9507,中國信託商業銀行,全行外匯活期存款,總外匯活期存款,76565000000,My_TOT
9507,中國信託商業銀行,全行外匯定期存款,總外匯定期存款,131623000000,FY_TOT
9507,慶豐商業銀行,全行外匯活期存款,總外匯活期存款,2181000000,My_TOT
9507,慶豐商業銀行,全行外匯定期存款,總外匯定期存款,5290000000,FY_TOT
9507,臺灣中小企業銀行,全行外匯活期存款,總外匯活期存款,27293000000,My_TOT
9507,臺灣中小企業銀行,全行外匯定期存款,總外匯定期存款,40586000000,FY_TOT
9507,臺北國際商業銀行,全行外匯活期存款,總外匯活期存款,14774000000,My_TOT
9507,臺北國際商業銀行,全行外匯定期存款,總外匯定期存款,17115000000,FY_TOT
9507,新竹國際商業銀行,全行外匯活期存款,總外匯活期存款,7828000000,My_TOT
9507,新竹國際商業銀行,全行外匯定期存款,總外匯定期存款,8946000000,FY_TOT
9507,臺中商業銀行,全行外匯活期存款,總外匯活期存款,1928000000,My_TOT
9507,臺中商業銀行,全行外匯定期存款,總外匯定期存款,3939000000,FY_TOT
9507,京城商業銀行,全行外匯活期存款,總外匯活期存款,659000000,My_TOT
9507,京城商業銀行,全行外匯定期存款,總外匯定期存款,1738000000,FY_TOT
9507,花蓮區中小企業銀行,全行外匯活期存款,總外匯活期存款,0,My_TOT
9507,花蓮區中小企業銀行,全行外匯定期存款,總外匯定期存款,0,FY_TOT
9507,臺東區中小企業銀行,全行外匯活期存款,總外匯活期存款,0,My_TOT
