年月,銀行,項目,數值
9602,三信商業銀行,國內外匯活期存款,140000000
9602,三信商業銀行,國內外匯定期存款,781000000
9602,三信商業銀行,國內外匯總存款,921000000
9602,三信商業銀行,海外外匯活期存款,7000000
9602,三信商業銀行,海外外匯定期存款,15000000
9602,三信商業銀行,海外外匯總存款,22000000
9602,第七商業銀行,國內外匯活期存款,0
9602,第七商業銀行,國內外匯定期存款,0
9602,第七商業銀行,國內外匯總存款,0
9602,第七商業銀行,海外外匯活期存款,0
9602,第七商業銀行,海外外匯定期存款,0
9602,第七商業銀行,海外外匯總存款,0
9602,聯邦商業銀行,國內外匯活期存款,2841000000
9602,聯邦商業銀行,國內外匯定期存款,10361000000
9602,聯邦商業銀行,國內外匯總存款,13202000000
9602,聯邦商業銀行,海外外匯活期存款,1062000000
9602,聯邦商業銀行,海外外匯定期存款,6797000000
9602,聯邦商業銀行,海外外匯總存款,7859000000
9602,中華商業銀行,國內外匯活期存款,480000000
9602,中華商業銀行,國內外匯定期存款,1697000000
9602,中華商業銀行,國內外匯總存款,2177000000
9602,中華商業銀行,海外外匯活期存款,75000000
9602,中華商業銀行,海外外匯定期存款,51000000
9602,中華商業銀行,海外外匯總存款,126000000
9602,遠東國際商業銀行,國內外匯活期存款,4828000000
9602,遠東國際商業銀行,國內外匯定期存款,13848000000
9602,遠東國際商業銀行,國內外匯總存款,18677000000
9602,遠東國際商業銀行,海外外匯活期存款,1726000000
9602,遠東國際商業銀行,海外外匯定期存款,18728000000
9602,遠東國際商業銀行,海外外匯總存款,20453000000
9602,復華商業銀行,國內外匯活期存款,4411000000
9602,復華商業銀行,國內外匯定期存款,11075000000
9602,復華商業銀行,國內外匯總存款,15487000000
9602,復華商業銀行,海外外匯活期存款,1168000000
9602,復華商業銀行,海外外匯定期存款,3399000000
9602,復華商業銀行,海外外匯總存款,4566000000
9602,永豐商業銀行,國內外匯活期存款,27133000000
9602,永豐商業銀行,國內外匯定期存款,38332000000
9602,永豐商業銀行,國內外匯總存款,65465000000
9602,永豐商業銀行,海外外匯活期存款,29104000000
9602,永豐商業銀行,海外外匯定期存款,42908000000
9602,永豐商業銀行,海外外匯總存款,72011000000
9602,玉山商業銀行,國內外匯活期存款,9759000000
9602,玉山商業銀行,國內外匯定期存款,29816000000
9602,玉山商業銀行,國內外匯總存款,39575000000
9602,玉山商業銀行,海外外匯活期存款,6498000000
9602,玉山商業銀行,海外外匯定期存款,17110000000
9602,玉山商業銀行,海外外匯總存款,23608000000
9602,萬泰商業銀行,國內外匯活期存款,1516000000
9602,萬泰商業銀行,國內外匯定期存款,2886000000
9602,萬泰商業銀行,國內外匯總存款,4403000000
9602,萬泰商業銀行,海外外匯活期存款,521000000
9602,萬泰商業銀行,海外外匯定期存款,468000000
9602,萬泰商業銀行,海外外匯總存款,987000000
9602,寶華商業銀行,國內外匯活期存款,1655000000
9602,寶華商業銀行,國內外匯定期存款,2754000000
9602,寶華商業銀行,國內外匯總存款,4409000000
9602,寶華商業銀行,海外外匯活期存款,83000000
9602,寶華商業銀行,海外外匯定期存款,270000000
9602,寶華商業銀行,海外外匯總存款,353000000
9602,台新國際商業銀行,國內外匯活期存款,21839000000
9602,台新國際商業銀行,國內外匯定期存款,59828000000
9602,台新國際商業銀行,國內外匯總存款,81667000000
